"ensemble" "local_corr_tmin" "local_corr_tmax" "extent_space" "extent_time" "irrep_col" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "boot_r" "pion_decay_constant_val" "pion_decay_constant_boot"
"1821" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 30 0.0704676151511088 0.0704677851415895
"1822" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 31 0.0704676151511088 0.0704580266155994
"1823" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 32 0.0704676151511088 0.0704770034770789
"1824" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 33 0.0704676151511088 0.0704607957348164
"1825" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 34 0.0704676151511088 0.0704717177799935
"1826" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 35 0.0704676151511088 0.0704740226113817
"1827" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 36 0.0704676151511088 0.0704658973052744
"1828" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 37 0.0704676151511088 0.0704751997727464
"1829" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 38 0.0704676151511088 0.0704763896491134
"1830" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 39 0.0704676151511088 0.0704379974243002
"1831" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 40 0.0704676151511088 0.0704601607258263
"1832" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 41 0.0704676151511088 0.0704646131421052
"1833" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 42 0.0704676151511088 0.0704789722135925
"1834" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 43 0.0704676151511088 0.0704672008486232
"1835" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 44 0.0704676151511088 0.0704585553122772
"1836" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 45 0.0704676151511088 0.0704689800795441
"1837" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 46 0.0704676151511088 0.0704626001037142
"1838" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 47 0.0704676151511088 0.0704628744222598
"1839" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 48 0.0704676151511088 0.0704780227089136
"1840" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 49 0.0704676151511088 0.0704728547243051
"1841" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 50 0.0704676151511088 0.070478626351574
"1842" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 51 0.0704676151511088 0.0704620896408547
"1843" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 52 0.0704676151511088 0.0704826148190835
"1844" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 53 0.0704676151511088 0.0704541632063585
"1845" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 54 0.0704676151511088 0.0704707299437205
"1846" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 55 0.0704676151511088 0.0704564353470704
"1847" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 56 0.0704676151511088 0.0704719661691663
"1848" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 57 0.0704676151511088 0.0704752420773064
"1849" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 58 0.0704676151511088 0.0704818399887651
"1850" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 59 0.0704676151511088 0.0704583867747538
"1851" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 60 0.0704676151511088 0.0704775301635746
"1852" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 61 0.0704676151511088 0.070472705677715
"1853" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 62 0.0704676151511088 0.0704671451778954
"1854" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 63 0.0704676151511088 0.0704718850386339
"1855" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 64 0.0704676151511088 0.0704772343957609
"1856" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 65 0.0704676151511088 0.0704606058986529
"1857" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 66 0.0704676151511088 0.0704571332790044
"1858" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 67 0.0704676151511088 0.0704774346922132
"1859" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 68 0.0704676151511088 0.0704725740040082
"1860" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 69 0.0704676151511088 0.0704715658324171
"1861" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 70 0.0704676151511088 0.070453293586652
"1862" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 71 0.0704676151511088 0.0704423811977947
"1863" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 72 0.0704676151511088 0.0704487964956792
"1864" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 73 0.0704676151511088 0.0704769899035849
"1865" "cA2.60.32" 15 30 32 64 1 3 "jackknife" 500 1 1 74 0.0704676151511088 0.0704714133242949
